sku,E-Mart,Naivas,Quickmart
Bread400g,162.5,162.5,162.5
Bread5kg,49.3,48.0,44.5
Bread600g,166.66666666666669,163.33333333333334,165.0
Bread800g,162.5,155.0,162.5
Cooking Oil10l,312.45,290.0,294.2
Cooking Oil1l,399.0,339.0,391.5
Cooking Oil20l,289.225,292.25,282.5
Cooking Oil2kg,290.0,349.5,209.0
Cooking Oil2l,375.0,324.5,395.0
Cooking Oil3l,383.3333333333333,341.6666666666667,358.3333333333333
Cooking Oil500ml,439.0,370.0,340.0
Cooking Oil5l,330.0,305.9,309.5
Maize Meal10kg,86.0,82.5,80.9
Maize Meal1kg,90.0,84.0,85.0
Maize Meal2kg,96.0,74.5,77.5
Maize Meal5kg,88.0,83.0,82.0
MilkBrookside1l,167.5,161.0,160.0
MilkBrookside250ml,280.0,172.0,276.0
MilkDaima500ml,120.0,112.0,112.0
Rice250g,5196.0,1398.0,1396.0
Rice2kg,290.0,261.25,248.5
Rice400g,1125.0,1168.75,719.0
Rice5kg,315.0,239.8,234.4
Sugar200g,1300.0,1537.5,600.0
Sugar250ml,3760.0,2350.0,940.0
Sugar2kg,182.5,152.5,152.5
Sugar500g,300.0,310.0,318.0
Sugar5kg,174.0,149.0,153.0
Wheat Flour1kg,195.0,95.0,94.0
Wheat Flour2kg,92.5,88.0,87.0
