name,category,brand,sku,store,base_size,size,unit_type,unit_value,old_price,current_price,discount,price_per_unit,date,link
brookside dairybest milk 500ml,Milk,Brookside,MilkBrookside500ml,Naivas,500ml,500.0,litres,0.5,61.0,57.0,4.0,114.0,2026-04-10,https://www.naivas.online/brookside-dairy-best-milk-500ml
daima esl fresh milk 500ml,Milk,Daima,MilkDaima500ml,Naivas,500ml,500.0,litres,0.5,0.0,59.0,0.0,118.0,2026-04-10,https://www.naivas.online/daima-esl-fresh-milk-500ml
ilara fresh milk 500ml-pouch,Milk,Ilara,MilkIlara500ml,Naivas,500ml,500.0,litres,0.5,0.0,60.0,0.0,120.0,2026-04-10,https://www.naivas.online/ilara-fresh-milk-500ml-pouch
lato fino 500ml uht,Milk,Lato,MilkLato500ml,Naivas,500ml,500.0,litres,0.5,0.0,62.0,0.0,124.0,2026-04-10,https://www.naivas.online/lato-fino-500ml-uht
royal esl fresh milk 500ml,Milk,Royal,MilkRoyal500ml,Naivas,500ml,500.0,litres,0.5,0.0,54.0,0.0,108.0,2026-04-10,https://www.naivas.online/royal-esl-fresh-milk-500ml
fresha whole milk 5ltr,Milk,Fresha,MilkFresha5l,Naivas,5l,5.0,litres,5.0,0.0,500.0,0.0,100.0,2026-04-10,https://www.naivas.online/fresha-whole-milk-5ltr
brookside milk powder 15g satchet,Milk,Brookside,MilkBrookside15g,Naivas,15g,15.0,kg,0.015,0.0,21.0,0.0,1400.0,2026-04-10,https://www.naivas.online/brookside-milk-powder-15g-satchet
brookside uht milk 1 ltr,Milk,Brookside,MilkBrookside1l,Naivas,1l,1.0,litres,1.0,0.0,159.0,0.0,159.0,2026-04-10,https://www.naivas.online/brookside-uht-milk-1-ltr
brookside uht milk 250ml,Milk,Brookside,MilkBrookside250ml,Naivas,250ml,250.0,litres,0.25,0.0,42.0,0.0,168.0,2026-04-10,https://www.naivas.online/brookside-uht-milk-250ml
kara uht coconut cream 65ml,Milk,Kara,MilkKara65ml,Naivas,65ml,65.0,litres,0.065,0.0,75.0,0.0,1153.8461538461538,2026-04-10,https://www.naivas.online/kara-uht-coconut-cream-65ml
