date,search,name,current_price,old_price,link,source
2026-04-13,milk,4US Tetra Fino Asceptic Uht Milk 500ml,KES60,No discount,http://e-mart.co.ke/4-us-uht-milk-500ml?search=milk&category_id=0,E-Mart
2026-04-13,milk,Amara Milk Hand And Body Lotion 400ml,KES270,No discount,http://e-mart.co.ke/amara-milk-hand-and-body-lotion-400ml?search=milk&category_id=0,E-Mart
2026-04-13,milk,Aptamil Infant Milk Formula 400g 0-6months 400g,"KES2,299",No discount,http://e-mart.co.ke/aptamil-infant-formula-milk-0-6-months-400g?search=milk&category_id=0,E-Mart
2026-04-13,milk,Aptamil Lactose Free Milk Powder 400G From Birth Onwards,"KES4,000",No discount,http://e-mart.co.ke/APTAMIL-LACTOSE-FREE-INFANT-MILK-FORMULA-400G?search=milk&category_id=0,E-Mart
2026-04-13,milk,Aptamil Pepti 1 Formula Milk 400g From Birth,"KES5,500",No discount,http://e-mart.co.ke/aptamil-pepti-1-kenya?search=milk&category_id=0,E-Mart
2026-04-13,milk,Aptamil Pepti Junior Formula Milk 0 12m 400g,"KES5,500",No discount,http://e-mart.co.ke/aptamil-pepti-junior-400gm-0-12-months   ?search=milk&category_id=0,E-Mart
2026-04-13,milk,Aryuva Premium Dark Soy Sauce 150ml,KES160,No discount,http://e-mart.co.ke/buy-aryuva-premium-dark-soy-sauce-on-emart-online?search=milk&category_id=0,E-Mart
2026-04-13,milk,AVENE CHILDREN SPF 50+ SUN MILK 100ML,"KES4,050",No discount,http://e-mart.co.ke/AVENE-CHILDREN-SPF-50-SUN-MILK-100ML-NOW-AVAILABLE-ON-E-MART?search=milk&category_id=0,E-Mart
2026-04-13,milk,BIO BARISTA FRESH MILK 1L,KES199,No discount,http://e-mart.co.ke/BIO-BARISTA-FRESH-MILK-1L?search=milk&category_id=0,E-Mart
2026-04-13,milk,Bio Fob Blueberry Fruit Yoghurt 200ml,KES200,No discount,http://e-mart.co.ke/bio-fob-blueberry-fruit-yoghurt-200ml-now-available-on-e-mart?search=milk&category_id=0,E-Mart
2026-04-13,milk,Bio Fresh Whole Milk 2Litres,KES340,No discount,http://e-mart.co.ke/index.php?route=product/product&product_id=8987&search=milk&category_id=0,E-Mart
2026-04-13,milk,Bio Greek Style Honey Yoghurt 200ml,KES175,No discount,http://e-mart.co.ke/bio-greek-style-yoghurt-honey-200ml?search=milk&category_id=0,E-Mart
2026-04-13,sugar,Benylin Chesty Cough Herbal Sugar Free Syrup 100ml,"KES1,800",No discount,http://e-mart.co.ke/benylin-herbal-chesty-cough?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Bio-Health Cinnamon Bark 60 Capsules,"KES2,070",No discount,http://e-mart.co.ke/bio-health-cinnamon-bark-60-capsules?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Brown Vinegar 5Litres,KES399,No discount,http://e-mart.co.ke/buy-clovers-brown-vineger-5l-online?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Brown Vinegar 700ml,KES105,No discount,http://e-mart.co.ke/clovers-vinegar-brown-700ml-now-available-on-emart-kenya	?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Cocoa Powder Jar 400g,KES710,No discount,http://e-mart.co.ke/clovers-cocoa-powder-jar-400g?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Custard Powder 250g,KES95,No discount,http://e-mart.co.ke/clovers-custard-powder-250g?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Custard Powder Vanilla 500g,KES180,No discount,http://e-mart.co.ke/clovers-custard-powder-vanilla-500g-now-availableon-e-mart?search=sugar&category_id=0,E-Mart
2026-04-13,sugar,Clovers Drinking Chocolate Jar 400g,KES410,No discount,http://e-mart.co.ke/clovers-drinking-chocolate-jar-400g?search=sugar&category_id=0,E-Mart
