date,search,name,current_price,old_price,link,source
2026-08-30,sugar,Rina Vegetable Oil 5L,"KES 1,499","KES 1,600",https://www.naivas.online/rina-vegetable-oil-5l,Naivas
2026-08-30,sugar,Fresh Tomatoes P/Kg,KES 59,KES 99,https://www.naivas.online/tomatoes-pkg,Naivas
2026-08-30,sugar,Naivas Fino UHT Milk 500Ml,KES 55,No discount,https://www.naivas.online/naivas-fino-uht-milk-500ml,Naivas
2026-08-30,sugar,Potatoes White P/Kg,KES 89,KES 119,https://www.naivas.online/potatoes-white-p/kg,Naivas
2026-08-30,sugar,Brookside Dairybest Milk 500Ml,KES 65,No discount,https://www.naivas.online/brookside-dairy-best-milk-500ml,Naivas
2026-08-30,sugar,Fresh Fri Cooking Oil 5Ltr,"KES 1,299","KES 1,600",https://www.naivas.online/fresh-fri-vegetable-oil-5l,Naivas
2026-08-30,sugar,Naivas Local Sugar White 2Kg,KES 299,No discount,https://www.naivas.online/naivas-local-sugar-white-2kg,Naivas
2026-08-30,sugar,Wallet Cashout,KES 1,No discount,https://www.naivas.online/wallet-cashout,Naivas
2026-08-30,sugar,Fresh Onions Red P/Kg,KES 99,KES 129,https://www.naivas.online/onions-red-p/kg,Naivas
2026-08-30,sugar,Jamaa Cream Bar Soap 1 Kg,KES 179,KES 250,https://www.naivas.online/jamaa-cream-bar-soap-1-kg,Naivas
2026-08-30,bread,Rina Vegetable Oil 5L,"KES 1,499","KES 1,600",https://www.naivas.online/rina-vegetable-oil-5l,Naivas
2026-08-30,bread,Fresh Tomatoes P/Kg,KES 59,KES 99,https://www.naivas.online/tomatoes-pkg,Naivas
2026-08-30,bread,Naivas Fino UHT Milk 500Ml,KES 55,No discount,https://www.naivas.online/naivas-fino-uht-milk-500ml,Naivas
2026-08-30,bread,Potatoes White P/Kg,KES 89,KES 119,https://www.naivas.online/potatoes-white-p/kg,Naivas
2026-08-30,bread,Brookside Dairybest Milk 500Ml,KES 65,No discount,https://www.naivas.online/brookside-dairy-best-milk-500ml,Naivas
2026-08-30,bread,Fresh Fri Cooking Oil 5Ltr,"KES 1,299","KES 1,600",https://www.naivas.online/fresh-fri-vegetable-oil-5l,Naivas
2026-08-30,bread,Naivas Local Sugar White 2Kg,KES 299,No discount,https://www.naivas.online/naivas-local-sugar-white-2kg,Naivas
2026-08-30,bread,Wallet Cashout,KES 1,No discount,https://www.naivas.online/wallet-cashout,Naivas
2026-08-30,bread,Fresh Onions Red P/Kg,KES 99,KES 129,https://www.naivas.online/onions-red-p/kg,Naivas
2026-08-30,bread,Jamaa Cream Bar Soap 1 Kg,KES 179,KES 250,https://www.naivas.online/jamaa-cream-bar-soap-1-kg,Naivas
2026-08-30,rice,Rina Vegetable Oil 5L,"KES 1,499","KES 1,600",https://www.naivas.online/rina-vegetable-oil-5l,Naivas
2026-08-30,rice,Fresh Tomatoes P/Kg,KES 59,KES 99,https://www.naivas.online/tomatoes-pkg,Naivas
2026-08-30,rice,Naivas Fino UHT Milk 500Ml,KES 55,No discount,https://www.naivas.online/naivas-fino-uht-milk-500ml,Naivas
2026-08-30,rice,Potatoes White P/Kg,KES 89,KES 119,https://www.naivas.online/potatoes-white-p/kg,Naivas
2026-08-30,rice,Brookside Dairybest Milk 500Ml,KES 65,No discount,https://www.naivas.online/brookside-dairy-best-milk-500ml,Naivas
2026-08-30,rice,Fresh Fri Cooking Oil 5Ltr,"KES 1,299","KES 1,600",https://www.naivas.online/fresh-fri-vegetable-oil-5l,Naivas
2026-08-30,rice,Naivas Local Sugar White 2Kg,KES 299,No discount,https://www.naivas.online/naivas-local-sugar-white-2kg,Naivas
