date,category,name,current_price,old_price,link,source
2026-07-27,milk,Brookside Dairy Best Milk 500Ml,KES 62.00,No discount,https://www.quickmart.co.ke/brookside-dairy-best-milk-500ml-12,Quickmart
2026-07-27,milk,Tuzo Uht Fino Whole Milk 500Ml,KES 61.00,No discount,https://www.quickmart.co.ke/tuzo-uht-fino-whole-milk-500ml-63,Quickmart
2026-07-27,milk,Quick Choice Esl Milk 500Ml,KES 47.00,KES 51.00,https://www.quickmart.co.ke/quick-choice-esl-milk-500ml-63,Quickmart
2026-07-27,milk,Tuzo Esl Milk 450Ml,KES 54.00,No discount,https://www.quickmart.co.ke/tuzo-esl-milk-450ml-58,Quickmart
2026-07-27,milk,Fresha Fresh Whole Milk 500Ml,KES 58.00,No discount,https://www.quickmart.co.ke/fresha-fresh-whole-milk-500ml-63,Quickmart
2026-07-27,milk,Daima Esl Bora Milk 450Ml,KES 50.00,No discount,https://www.quickmart.co.ke/daima-esl-bora-milk-450ml-54,Quickmart
2026-07-27,milk,Tuzo Uht Whole Milk 250Ml,KES 41.00,No discount,https://www.quickmart.co.ke/tuzo-uht-whole-milk-250ml-45,Quickmart
2026-07-27,milk,Fresha Zito Long Life Milk 250Ml,KES 30.00,No discount,https://www.quickmart.co.ke/fresha-zito-long-life-milk-250ml-40,Quickmart
2026-07-27,milk,Brookside Uht Whole Milk 250Ml,KES 43.00,No discount,https://www.quickmart.co.ke/brookside-uht-whole-milk-250ml-66,Quickmart
2026-07-27,milk,Daima Fino Bora Milk Pouch 500Ml,KES 55.00,KES 60.00,https://www.quickmart.co.ke/daima-fino-bora-milk-pouch-500ml-63,Quickmart
2026-07-27,milk,Kcc Fresh Milk Tca 200Ml,KES 31.00,No discount,https://www.quickmart.co.ke/kcc-fresh-milk-tca-200ml-63,Quickmart
2026-07-27,milk,Kcc Goldcrown Fresh Milk Tfa 500Ml,KES 56.00,No discount,https://www.quickmart.co.ke/kcc-goldcrown-fresh-milk-tfa-500ml-63,Quickmart
2026-07-27,milk,Brookside Lactose Free Milk Fino 500Ml - Long Life,KES 77.00,No discount,https://www.quickmart.co.ke/brookside-lactose-free-milk-fino-500ml-long-life-63,Quickmart
2026-07-27,milk,Lato Milk Esl Pouch 500Ml,KES 51.00,KES 60.00,https://www.quickmart.co.ke/lato-milk-esl-pouch-500ml-63,Quickmart
2026-07-27,milk,Daima Fino Bora Milk 200Ml,KES 26.00,KES 30.00,https://www.quickmart.co.ke/daima-fino-bora-milk-200ml-63,Quickmart
2026-07-27,milk,Arimis Milking Jelly - 200G,KES 139.00,No discount,https://www.quickmart.co.ke/arimis-milking-jelly-200g-50,Quickmart
2026-07-27,milk,Lato Milk With Straw Tba 250Ml,KES 40.00,No discount,https://www.quickmart.co.ke/lato-milk-with-straw-tba-250ml-63,Quickmart
2026-07-27,milk,Brookide Disney Strawberry Flavoured Milk 200Ml,KES 60.00,No discount,https://www.quickmart.co.ke/brookide-disney-strawberry-flavoured-milk-200ml-29,Quickmart
2026-07-27,milk,Parle Milkpower Biscuits 195.5G,KES 91.00,No discount,https://www.quickmart.co.ke/parle-milkpower-biscuits-195.5g-53,Quickmart
2026-07-27,milk,Arimis Milking Jelly 90Ml,KES 70.00,No discount,https://www.quickmart.co.ke/arimis-milking-jelly-90ml-60,Quickmart
2026-07-27,milk,Brookside Vanilla 250Ml Flavoured Milk,KES 69.00,No discount,https://www.quickmart.co.ke/brookside-vanilla-250ml-flavoured-milk-40,Quickmart
2026-07-27,milk,Kinangop Fresh Pouch Milk 500Ml -Fresh Milk,KES 53.00,No discount,https://www.quickmart.co.ke/kinangop-fresh-pouch-milk-500ml-fresh-milk-63,Quickmart
2026-07-27,milk,Dairy Milk Oreo 95G,KES 299.00,No discount,https://www.quickmart.co.ke/dairy-milk-oreo-95g-30,Quickmart
2026-07-27,milk,Brookside Uht Whole Milk Tca 200Ml,KES 33.00,No discount,https://www.quickmart.co.ke/brookside-uht-whole-milk-tca-200ml-63,Quickmart
2026-07-27,milk,Mount Kenya Milk Premium Fino 500Ml,KES 63.00,No discount,https://www.quickmart.co.ke/mount-kenya-milk-premium-fino-500ml-63,Quickmart
2026-07-27,milk,Kcc Fino Whole Milk 500Ml Green Tfa,KES 59.00,No discount,https://www.quickmart.co.ke/kcc-fino-whole-milk-500ml-green-tfa-61,Quickmart
2026-07-27,milk,Quick Choice Esl Milk 500Ml Carton,KES 612.00,No discount,https://www.quickmart.co.ke/quick-choice-esl-milk-500ml-carton-23,Quickmart
2026-07-27,milk,Sawa Milking Jelly - 200Ml,KES 105.00,KES 120.00,https://www.quickmart.co.ke/sawa-milking-jelly-200ml-67,Quickmart
2026-07-27,milk,Kcc Gold Crown Lactose Free Tba Milk 1L,KES 170.00,No discount,https://www.quickmart.co.ke/kcc-gold-crown-lactose-free-tba-milk-1l-63,Quickmart
2026-07-27,milk,Dairyland Real Milk Chocolate 40Gm,KES 120.00,No discount,https://www.quickmart.co.ke/dairyland-real-milk-chocolate-40gm-50,Quickmart
2026-07-27,milk,Kcc Mala Smooth And Tasty Plain Milk 1L,KES 165.00,No discount,https://www.quickmart.co.ke/kcc-mala-smooth-and-tasty-plain-milk-1l-63,Quickmart
2026-07-27,milk,Nuvita Vitamilk Biscuit 400G/375G,KES 198.00,No discount,https://www.quickmart.co.ke/nuvita-vitamilk-biscuit-400g/375g-58,Quickmart
2026-07-27,milk,Nuvita Vitamilk Biscuit 60*5Pcs Ctn,KES 306.00,No discount,https://www.quickmart.co.ke/nuvita-vitamilk-biscuit-60*5pcs-ctn-29,Quickmart
2026-07-27,milk,Dairyland Real Milk Chocolate 80Gm,KES 240.00,No discount,https://www.quickmart.co.ke/dairyland-real-milk-chocolate-80gm-13,Quickmart
2026-07-27,milk,Daima Assorted - 6Pack Flavoured Milk 250Ml,KES 390.00,KES 400.00,https://www.quickmart.co.ke/daima-assorted-6pack-flavoured-milk-250ml-61,Quickmart
2026-07-27,milk,Zoe Body Lotion Milk Dry Skin 400Ml,KES 265.00,No discount,https://www.quickmart.co.ke/zoe-body-lotion-milk-dry-skin-400ml-63,Quickmart
2026-07-27,milk,Kentaste Coconut Milk 400Ml,KES 297.00,No discount,https://www.quickmart.co.ke/kentaste-coconut-milk-400ml-19,Quickmart
2026-07-27,milk,Alo Lotion Goat Milk - 400Ml,KES 295.00,No discount,https://www.quickmart.co.ke/alo-lotion-goat-milk-400ml-10,Quickmart
2026-07-27,milk,Brookside Disney Vanilla Flavoured Milk 200Ml,KES 60.00,No discount,https://www.quickmart.co.ke/brookside-disney-vanilla-flavoured-milk-200ml-32,Quickmart
2026-07-27,milk,Daima Vanilla Milk 480Ml,KES 95.00,KES 100.00,https://www.quickmart.co.ke/daima-vanilla-milk-480ml-63,Quickmart
2026-07-27,milk,Yego Milk Biscuit 60*5Pcs/65*4Pcs,KES 325.00,No discount,https://www.quickmart.co.ke/yego-milk-biscuit-60*5pcs/65*4pcs-12,Quickmart
2026-07-27,milk,Brookside Uht Whole Milk 1L,KES 160.00,No discount,https://www.quickmart.co.ke/brookside-uht-whole-milk-1l-63,Quickmart
2026-07-27,milk,Brookside Uht Flavour Banana Milk 250Ml,KES 69.00,No discount,https://www.quickmart.co.ke/brookside-uht-flavour-banana-milk-250ml-63,Quickmart
2026-07-27,milk,Brookside Uht Flavour Coffee Milk 250Ml,KES 69.00,No discount,https://www.quickmart.co.ke/brookside-uht-flavour-coffee-milk-250ml-63,Quickmart
2026-07-27,milk,Mio Goodie Milk Compound 45G,KES 60.00,No discount,https://www.quickmart.co.ke/mio-goodie-milk-compound-45g-54,Quickmart
2026-07-27,milk,Nestle Nan Optipro Infant Formula Milk Powder 400G,"KES 2,060.00",No discount,https://www.quickmart.co.ke/nestle-nan-optipro-infant-formula-milk-powder-400g-63,Quickmart
2026-07-27,milk,Valon Body Milk Lotion - 400Ml,KES 260.00,No discount,https://www.quickmart.co.ke/valon-body-milk-lotion-400ml-16,Quickmart
2026-07-27,milk,Cadbury Dairymilk 80G,KES 249.00,KES 290.00,https://www.quickmart.co.ke/cadbury-dairymilk-80g-63,Quickmart
2026-07-27,milk,Dairyland Milk & Cookies Chclate 80G,KES 240.00,No discount,https://www.quickmart.co.ke/dairyland-milk-cookies-chclate-80g-24,Quickmart
2026-07-27,milk,Dairymilk 35G/37G,KES 140.00,No discount,https://www.quickmart.co.ke/dairymilk-35g/37g-8,Quickmart
2026-07-27,milk,Arimis Milking Jelly - 50Ml,KES 42.00,No discount,https://www.quickmart.co.ke/arimis-milking-jelly-50ml-39,Quickmart
2026-07-27,milk,Dairymilk Fruit&Nut 37G/35G,KES 140.00,No discount,https://www.quickmart.co.ke/dairymilk-fruit-nut-37g/35g-12,Quickmart
2026-07-27,milk,Amara Body Milk Lotion - 200Ml,KES 160.00,No discount,https://www.quickmart.co.ke/amara-body-milk-lotion-200ml-59,Quickmart
2026-07-27,milk,Kara Coconut Milk Uht 200Ml,KES 200.00,No discount,https://www.quickmart.co.ke/kara-coconut-milk-uht-200ml-28,Quickmart
2026-07-27,milk,Kenafric Lotta Milk Munch 80S,KES 107.00,No discount,https://www.quickmart.co.ke/kenafric-lotta-milk-munch-80s-51,Quickmart
2026-07-27,milk,Nuvita Vitamilk 75G Biscuit,KES 30.00,No discount,https://www.quickmart.co.ke/nuvita-vitamilk-75g-biscuit-49,Quickmart
2026-07-27,milk,Daima Strawberry -6Pack Flavour Milk 250Ml,KES 390.00,KES 400.00,https://www.quickmart.co.ke/daima-strawberry-6pack-flavour-milk-250ml-66,Quickmart
2026-07-27,milk,Amara Body Milk Lotion 400Ml,KES 248.00,KES 285.00,https://www.quickmart.co.ke/amara-body-milk-lotion-400ml-25,Quickmart
2026-07-27,milk,Brookside Full Cream Sachet Milk Powder 250 G,KES 328.00,No discount,https://www.quickmart.co.ke/brookside-full-cream-sachet-milk-powder-250-g-67,Quickmart
2026-07-27,milk,Hom Milk Star Bic 200G,KES 93.00,No discount,https://www.quickmart.co.ke/hom-milk-star-bic-200g-48,Quickmart
2026-07-27,milk,Cadbury Ps Caramilk 48G,KES 139.00,KES 179.00,https://www.quickmart.co.ke/cadbury-ps-caramilk-48g-38,Quickmart
2026-07-27,milk,Nimbu Premium Cockpit Milk Van.750Ml,"KES 1,340.00",No discount,https://www.quickmart.co.ke/nimbu-premium-cockpit-milk-van.750ml-25,Quickmart
2026-07-27,milk,Kcc Gold Crown Uht Milk Tba 1L,KES 157.00,No discount,https://www.quickmart.co.ke/kcc-gold-crown-uht-milk-tba-1l-63,Quickmart
2026-07-27,milk,Nuvita Vitamilk Biscuit 200G,KES 99.00,No discount,https://www.quickmart.co.ke/nuvita-vitamilk-biscuit-200g-55,Quickmart
2026-07-27,milk,Tuzo Whole Milk 500Ml,KES 59.00,No discount,https://www.quickmart.co.ke/tuzo-whole-milk-500ml-63,Quickmart
2026-07-27,milk,Daima Strawberry Milk 480Ml,KES 95.00,KES 100.00,https://www.quickmart.co.ke/daima-strawberry-milk-480ml-63,Quickmart
2026-07-27,milk,Can Valon Lotion Body Milk - 200Ml,KES 150.00,No discount,https://www.quickmart.co.ke/can-valon-lotion-body-milk-200ml-11,Quickmart
2026-07-27,milk,Ilara Mazila Maziwa Lala Milk 500Ml,KES 95.00,No discount,https://www.quickmart.co.ke/ilara-mazila-maziwa-lala-milk-500ml-63,Quickmart
2026-07-27,milk,Treatos Milk 105G,KES 50.00,No discount,https://www.quickmart.co.ke/treatos-milk-105g-12,Quickmart
2026-07-27,milk,Daima Starwberry Milk 250Ml,KES 65.00,KES 70.00,https://www.quickmart.co.ke/daima-starwberry-milk-250ml-63,Quickmart
2026-07-27,milk,Parle Milk Power 72.25G/64G,KES 30.00,No discount,https://www.quickmart.co.ke/parle-milk-power-72.25g/64g-43,Quickmart
2026-07-27,milk,Brookside Full Cream Sachet Milk Powder 450G,KES 550.00,No discount,https://www.quickmart.co.ke/brookside-full-cream-sachet-milk-powder-450g-92,Quickmart
2026-07-27,milk,Brookside Full Cream Milk Powder 250Gms,KES 335.00,No discount,https://www.quickmart.co.ke/brookside-full-cream-milk-powder-250gms-23,Quickmart
2026-07-27,milk,Parle Milk Power 750G/765G,KES 355.00,No discount,https://www.quickmart.co.ke/parle-milk-power-750g/765g-25,Quickmart
2026-07-27,milk,Zoe Body Lotion Milk Dry Skin 200Ml,KES 160.00,No discount,https://www.quickmart.co.ke/zoe-body-lotion-milk-dry-skin-200ml-63,Quickmart
2026-07-27,milk,Daima Chocolate-6Packflv Milk 250Ml,KES 390.00,KES 400.00,https://www.quickmart.co.ke/daima-chocolate-6packflv-milk-250ml-8,Quickmart
2026-07-27,milk,Santa Maria Ccnut Milk Lite400Ml,KES 219.00,KES 259.00,https://www.quickmart.co.ke/santa-maria-ccnut-milk-lite400ml-56,Quickmart
2026-07-27,milk,Alo Lotion Goat Milk - 200Ml,KES 175.00,No discount,https://www.quickmart.co.ke/alo-lotion-goat-milk-200ml-29,Quickmart
2026-07-27,milk,Papita Milky,KES 80.00,No discount,https://www.quickmart.co.ke/papita-milky-63,Quickmart
2026-07-27,milk,Limuru Fresh Milk 1Litre,KES 75.00,No discount,https://www.quickmart.co.ke/limuru-fresh-milk-1litre-41,Quickmart
2026-07-27,milk,Nimbu Prem.cockpit Milk New Car 750M,"KES 1,340.00",No discount,https://www.quickmart.co.ke/nimbu-prem.cockpit-milk-new-car-750m-25,Quickmart
2026-07-27,milk,Milk Star 72Pkts*4Pcsx16G,KES 430.00,No discount,https://www.quickmart.co.ke/milk-star-72pkts*4pcsx16g-26,Quickmart
2026-07-27,milk,Nivea Nourishing Milk - 200Ml,KES 360.00,No discount,https://www.quickmart.co.ke/nivea-nourishing-milk-200ml-18,Quickmart
2026-07-27,milk,Milk Star 40G,KES 20.00,No discount,https://www.quickmart.co.ke/milk-star-40g-66,Quickmart
2026-07-27,milk,Brookside Uht Low Fat Milk 1L,KES 160.00,No discount,https://www.quickmart.co.ke/brookside-uht-low-fat-milk-1l-63,Quickmart
2026-07-27,milk,Nestle Lactogen Infant Formula Milk Powder Stage 1 400G,"KES 1,600.00",No discount,https://www.quickmart.co.ke/nestle-lactogen-infant-formula-milk-powder-stage-1-400g-63,Quickmart
2026-07-27,milk,Fresha Milk Esl Pouch 500Ml,KES 58.00,No discount,https://www.quickmart.co.ke/fresha-milk-esl-pouch-500ml-63,Quickmart
2026-07-27,milk,Mount Kenya Uht Milk Fino 500Ml,KES 63.00,No discount,https://www.quickmart.co.ke/mount-kenya-uht-milk-fino-500ml-63,Quickmart
